str_mode,measure,value,cas_mode,city,scenario,country,continent,mode_distance
truck,mean,1.89,car,bogota,Bicycling,Colombia,Latin_America,27288591.204665408
truck,ub,2.91,car,bogota,Bicycling,Colombia,Latin_America,27288591.204665408
truck,lb,1.23,car,bogota,Bicycling,Colombia,Latin_America,27288591.204665408
nov,mean,14.29,car,bogota,Bicycling,Colombia,Latin_America,27288591.204665408
nov,ub,22.83,car,bogota,Bicycling,Colombia,Latin_America,27288591.204665408
nov,lb,9.09,car,bogota,Bicycling,Colombia,Latin_America,27288591.204665408
bus,mean,19.06,cycle,bogota,Bicycling,Colombia,Latin_America,6209933.314995517
bus,ub,23.83,cycle,bogota,Bicycling,Colombia,Latin_America,6209933.314995517
bus,lb,15.25,cycle,bogota,Bicycling,Colombia,Latin_America,6209933.314995517
car,mean,24.87,cycle,bogota,Bicycling,Colombia,Latin_America,6209933.314995517
car,ub,30.95,cycle,bogota,Bicycling,Colombia,Latin_America,6209933.314995517
car,lb,20,cycle,bogota,Bicycling,Colombia,Latin_America,6209933.314995517
cycle,mean,0,cycle,bogota,Bicycling,Colombia,Latin_America,6209933.314995517
cycle,ub,0,cycle,bogota,Bicycling,Colombia,Latin_America,6209933.314995517
cycle,lb,0,cycle,bogota,Bicycling,Colombia,Latin_America,6209933.314995517
motorcycle,mean,17.58,cycle,bogota,Bicycling,Colombia,Latin_America,6209933.314995517
motorcycle,ub,22.3,cycle,bogota,Bicycling,Colombia,Latin_America,6209933.314995517
motorcycle,lb,13.88,cycle,bogota,Bicycling,Colombia,Latin_America,6209933.314995517
truck,mean,16.29,cycle,bogota,Bicycling,Colombia,Latin_America,6209933.314995517
truck,ub,20.44,cycle,bogota,Bicycling,Colombia,Latin_America,6209933.314995517
truck,lb,13,cycle,bogota,Bicycling,Colombia,Latin_America,6209933.314995517
nov,mean,14.11,cycle,bogota,Bicycling,Colombia,Latin_America,6209933.314995517
nov,ub,22.55,cycle,bogota,Bicycling,Colombia,Latin_America,6209933.314995517
nov,lb,8.93,cycle,bogota,Bicycling,Colombia,Latin_America,6209933.314995517
bus,mean,40.98,motorcycle,bogota,Bicycling,Colombia,Latin_America,13842405.556339681
bus,ub,49.45,motorcycle,bogota,Bicycling,Colombia,Latin_America,13842405.556339681
bus,lb,33.98,motorcycle,bogota,Bicycling,Colombia,Latin_America,13842405.556339681
car,mean,54.2,motorcycle,bogota,Bicycling,Colombia,Latin_America,13842405.556339681
car,ub,65.02,motorcycle,bogota,Bicycling,Colombia,Latin_America,13842405.556339681
car,lb,45.21,motorcycle,bogota,Bicycling,Colombia,Latin_America,13842405.556339681
cycle,mean,3.79,motorcycle,bogota,Bicycling,Colombia,Latin_America,13842405.556339681
cycle,ub,6.24,motorcycle,bogota,Bicycling,Colombia,Latin_America,13842405.556339681
cycle,lb,2.3,motorcycle,bogota,Bicycling,Colombia,Latin_America,13842405.556339681
motorcycle,mean,0,motorcycle,bogota,Bicycling,Colombia,Latin_America,13842405.556339681
motorcycle,ub,0,motorcycle,bogota,Bicycling,Colombia,Latin_America,13842405.556339681
motorcycle,lb,0,motorcycle,bogota,Bicycling,Colombia,Latin_America,13842405.556339681
truck,mean,40.83,motorcycle,bogota,Bicycling,Colombia,Latin_America,13842405.556339681
truck,ub,49.36,motorcycle,bogota,Bicycling,Colombia,Latin_America,13842405.556339681
truck,lb,33.8,motorcycle,bogota,Bicycling,Colombia,Latin_America,13842405.556339681
nov,mean,52.24,motorcycle,bogota,Bicycling,Colombia,Latin_America,13842405.556339681
nov,ub,71.83,motorcycle,bogota,Bicycling,Colombia,Latin_America,13842405.556339681
nov,lb,38.54,motorcycle,bogota,Bicycling,Colombia,Latin_America,13842405.556339681
bus,mean,37.18,pedestrian,bogota,Bicycling,Colombia,Latin_America,7198596.035411869
bus,ub,45.71,pedestrian,bogota,Bicycling,Colombia,Latin_America,7198596.035411869
bus,lb,30.26,pedestrian,bogota,Bicycling,Colombia,Latin_America,7198596.035411869
car,mean,48.53,pedestrian,bogota,Bicycling,Colombia,Latin_America,7198596.035411869
car,ub,59.36,pedestrian,bogota,Bicycling,Colombia,Latin_America,7198596.035411869
car,lb,39.7,pedestrian,bogota,Bicycling,Colombia,Latin_America,7198596.035411869
cycle,mean,2.93,pedestrian,bogota,Bicycling,Colombia,Latin_America,7198596.035411869
cycle,ub,4.86,pedestrian,bogota,Bicycling,Colombia,Latin_America,7198596.035411869
cycle,lb,1.76,pedestrian,bogota,Bicycling,Colombia,Latin_America,7198596.035411869
motorcycle,mean,34.31,pedestrian,bogota,Bicycling,Colombia,Latin_America,7198596.035411869
motorcycle,ub,42.82,pedestrian,bogota,Bicycling,Colombia,Latin_America,7198596.035411869
motorcycle,lb,27.5,pedestrian,bogota,Bicycling,Colombia,Latin_America,7198596.035411869
truck,mean,31.79,pedestrian,bogota,Bicycling,Colombia,Latin_America,7198596.035411869
truck,ub,39.22,pedestrian,bogota,Bicycling,Colombia,Latin_America,7198596.035411869
truck,lb,25.78,pedestrian,bogota,Bicycling,Colombia,Latin_America,7198596.035411869
nov,mean,4.03,pedestrian,bogota,Bicycling,Colombia,Latin_America,7198596.035411869
nov,ub,7.32,pedestrian,bogota,Bicycling,Colombia,Latin_America,7198596.035411869
nov,lb,2.24,pedestrian,bogota,Bicycling,Colombia,Latin_America,7198596.035411869
bus,mean,0.13,truck,bogota,Bicycling,Colombia,Latin_America,6761083.388006915
bus,ub,0.54,truck,bogota,Bicycling,Colombia,Latin_America,6761083.388006915
bus,lb,0.03,truck,bogota,Bicycling,Colombia,Latin_America,6761083.388006915
car,mean,0.17,truck,bogota,Bicycling,Colombia,Latin_America,6761083.388006915
car,ub,0.71,truck,bogota,Bicycling,Colombia,Latin_America,6761083.388006915
car,lb,0.04,truck,bogota,Bicycling,Colombia,Latin_America,6761083.388006915
cycle,mean,0.01,truck,bogota,Bicycling,Colombia,Latin_America,6761083.388006915
cycle,ub,0.05,truck,bogota,Bicycling,Colombia,Latin_America,6761083.388006915
cycle,lb,0,truck,bogota,Bicycling,Colombia,Latin_America,6761083.388006915
motorcycle,mean,0.13,truck,bogota,Bicycling,Colombia,Latin_America,6761083.388006915
motorcycle,ub,0.54,truck,bogota,Bicycling,Colombia,Latin_America,6761083.388006915
motorcycle,lb,0.03,truck,bogota,Bicycling,Colombia,Latin_America,6761083.388006915
truck,mean,0,truck,bogota,Bicycling,Colombia,Latin_America,6761083.388006915
truck,ub,0,truck,bogota,Bicycling,Colombia,Latin_America,6761083.388006915
truck,lb,0,truck,bogota,Bicycling,Colombia,Latin_America,6761083.388006915
nov,mean,1.11,truck,bogota,Bicycling,Colombia,Latin_America,6761083.388006915
nov,ub,2.89,truck,bogota,Bicycling,Colombia,Latin_America,6761083.388006915
nov,lb,0.43,truck,bogota,Bicycling,Colombia,Latin_America,6761083.388006915
bus,mean,0,bus,bogota,Car,Colombia,Latin_America,34947020.4776194
bus,ub,0,bus,bogota,Car,Colombia,Latin_America,34947020.4776194
bus,lb,0,bus,bogota,Car,Colombia,Latin_America,34947020.4776194
car,mean,0.64,bus,bogota,Car,Colombia,Latin_America,34947020.4776194
car,ub,1.39,bus,bogota,Car,Colombia,Latin_America,34947020.4776194
car,lb,0.29,bus,bogota,Car,Colombia,Latin_America,34947020.4776194
cycle,mean,0.02,bus,bogota,Car,Colombia,Latin_America,34947020.4776194
cycle,ub,0.05,bus,bogota,Car,Colombia,Latin_America,34947020.4776194
cycle,lb,0.01,bus,bogota,Car,Colombia,Latin_America,34947020.4776194
motorcycle,mean,0.41,bus,bogota,Car,Colombia,Latin_America,34947020.4776194
motorcycle,ub,0.9,bus,bogota,Car,Colombia,Latin_America,34947020.4776194
motorcycle,lb,0.19,bus,bogota,Car,Colombia,Latin_America,34947020.4776194
truck,mean,0.42,bus,bogota,Car,Colombia,Latin_America,34947020.4776194
truck,ub,0.91,bus,bogota,Car,Colombia,Latin_America,34947020.4776194
truck,lb,0.19,bus,bogota,Car,Colombia,Latin_America,34947020.4776194
nov,mean,5.26,bus,bogota,Car,Colombia,Latin_America,34947020.4776194
nov,ub,8.96,bus,bogota,Car,Colombia,Latin_America,34947020.4776194
nov,lb,3.13,bus,bogota,Car,Colombia,Latin_America,34947020.4776194
bus,mean,2.06,car,bogota,Car,Colombia,Latin_America,34409515.28466822
bus,ub,3.18,car,bogota,Car,Colombia,Latin_America,34409515.28466822
bus,lb,1.34,car,bogota,Car,Colombia,Latin_America,34409515.28466822
car,mean,0,car,bogota,Car,Colombia,Latin_America,34409515.28466822
car,ub,0,car,bogota,Car,Colombia,Latin_America,34409515.28466822
car,lb,0,car,bogota,Car,Colombia,Latin_America,34409515.28466822
cycle,mean,0.11,car,bogota,Car,Colombia,Latin_America,34409515.28466822
cycle,ub,0.2,car,bogota,Car,Colombia,Latin_America,34409515.28466822
cycle,lb,0.06,car,bogota,Car,Colombia,Latin_America,34409515.28466822
motorcycle,mean,2.13,car,bogota,Car,Colombia,Latin_America,34409515.28466822
motorcycle,ub,3.3,car,bogota,Car,Colombia,Latin_America,34409515.28466822
motorcycle,lb,1.38,car,bogota,Car,Colombia,Latin_America,34409515.28466822
truck,mean,2.17,car,bogota,Car,Colombia,Latin_America,34409515.28466822
truck,ub,3.34,car,bogota,Car,Colombia,Latin_America,34409515.28466822
truck,lb,1.41,car,bogota,Car,Colombia,Latin_America,34409515.28466822
nov,mean,17.3,car,bogota,Car,Colombia,Latin_America,34409515.28466822
nov,ub,27.44,car,bogota,Car,Colombia,Latin_America,34409515.28466822
nov,lb,11.06,car,bogota,Car,Colombia,Latin_America,34409515.28466822
bus,mean,11.49,cycle,bogota,Car,Colombia,Latin_America,2735543.9721774007
bus,ub,14.28,cycle,bogota,Car,Colombia,Latin_America,2735543.9721774007
bus,lb,9.26,cycle,bogota,Car,Colombia,Latin_America,2735543.9721774007
car,mean,18.61,cycle,bogota,Car,Colombia,Latin_America,2735543.9721774007
car,ub,23.01,cycle,bogota,Car,Colombia,Latin_America,2735543.9721774007
car,lb,15.07,cycle,bogota,Car,Colombia,Latin_America,2735543.9721774007
cycle,mean,0,cycle,bogota,Car,Colombia,Latin_America,2735543.9721774007
cycle,ub,0,cycle,bogota,Car,Colombia,Latin_America,2735543.9721774007
cycle,lb,0,cycle,bogota,Car,Colombia,Latin_America,2735543.9721774007
motorcycle,mean,10.87,cycle,bogota,Car,Colombia,Latin_America,2735543.9721774007
motorcycle,ub,13.71,cycle,bogota,Car,Colombia,Latin_America,2735543.9721774007
motorcycle,lb,8.63,cycle,bogota,Car,Colombia,Latin_America,2735543.9721774007
truck,mean,10.44,cycle,bogota,Car,Colombia,Latin_America,2735543.9721774007
truck,ub,13.01,cycle,bogota,Car,Colombia,Latin_America,2735543.9721774007
truck,lb,8.38,cycle,bogota,Car,Colombia,Latin_America,2735543.9721774007
nov,mean,7.73,cycle,bogota,Car,Colombia,Latin_America,2735543.9721774007
nov,ub,12.11,cycle,bogota,Car,Colombia,Latin_America,2735543.9721774007
nov,lb,4.98,cycle,bogota,Car,Colombia,Latin_America,2735543.9721774007
bus,mean,37.69,motorcycle,bogota,Car,Colombia,Latin_America,13280137.609451696
bus,ub,45.49,motorcycle,bogota,Car,Colombia,Latin_America,13280137.609451696
bus,lb,31.25,motorcycle,bogota,Car,Colombia,Latin_America,13280137.609451696
car,mean,60.49,motorcycle,bogota,Car,Colombia,Latin_America,13280137.609451696
car,ub,72.59,motorcycle,bogota,Car,Colombia,Latin_America,13280137.609451696
car,lb,50.46,motorcycle,bogota,Car,Colombia,Latin_America,13280137.609451696
cycle,mean,1.97,motorcycle,bogota,Car,Colombia,Latin_America,13280137.609451696
cycle,ub,3.24,motorcycle,bogota,Car,Colombia,Latin_America,13280137.609451696
cycle,lb,1.2,motorcycle,bogota,Car,Colombia,Latin_America,13280137.609451696
motorcycle,mean,0,motorcycle,bogota,Car,Colombia,Latin_America,13280137.609451696
motorcycle,ub,0,motorcycle,bogota,Car,Colombia,Latin_America,13280137.609451696
motorcycle,lb,0,motorcycle,bogota,Car,Colombia,Latin_America,13280137.609451696
truck,mean,39.64,motorcycle,bogota,Car,Colombia,Latin_America,13280137.609451696
truck,ub,47.92,motorcycle,bogota,Car,Colombia,Latin_America,13280137.609451696
truck,lb,32.81,motorcycle,bogota,Car,Colombia,Latin_America,13280137.609451696
nov,mean,50.19,motorcycle,bogota,Car,Colombia,Latin_America,13280137.609451696
nov,ub,69.04,motorcycle,bogota,Car,Colombia,Latin_America,13280137.609451696
nov,lb,37.01,motorcycle,bogota,Car,Colombia,Latin_America,13280137.609451696
bus,mean,34.77,pedestrian,bogota,Car,Colombia,Latin_America,7138126.26681243
bus,ub,42.74,pedestrian,bogota,Car,Colombia,Latin_America,7138126.26681243
bus,lb,28.29,pedestrian,bogota,Car,Colombia,Latin_America,7138126.26681243
car,mean,56.3,pedestrian,bogota,Car,Colombia,Latin_America,7138126.26681243
car,ub,68.87,pedestrian,bogota,Car,Colombia,Latin_America,7138126.26681243
car,lb,46.05,pedestrian,bogota,Car,Colombia,Latin_America,7138126.26681243
cycle,mean,1.45,pedestrian,bogota,Car,Colombia,Latin_America,7138126.26681243
cycle,ub,2.41,pedestrian,bogota,Car,Colombia,Latin_America,7138126.26681243
cycle,lb,0.87,pedestrian,bogota,Car,Colombia,Latin_America,7138126.26681243
motorcycle,mean,32.89,pedestrian,bogota,Car,Colombia,Latin_America,7138126.26681243
motorcycle,ub,41.06,pedestrian,bogota,Car,Colombia,Latin_America,7138126.26681243
motorcycle,lb,26.37,pedestrian,bogota,Car,Colombia,Latin_America,7138126.26681243
truck,mean,31.57,pedestrian,bogota,Car,Colombia,Latin_America,7138126.26681243
truck,ub,38.95,pedestrian,bogota,Car,Colombia,Latin_America,7138126.26681243
truck,lb,25.6,pedestrian,bogota,Car,Colombia,Latin_America,7138126.26681243
nov,mean,3.99,pedestrian,bogota,Car,Colombia,Latin_America,7138126.26681243
nov,ub,7.26,pedestrian,bogota,Car,Colombia,Latin_America,7138126.26681243
nov,lb,2.22,pedestrian,bogota,Car,Colombia,Latin_America,7138126.26681243
bus,mean,0.12,truck,bogota,Car,Colombia,Latin_America,6761083.388006915
bus,ub,0.51,truck,bogota,Car,Colombia,Latin_America,6761083.388006915
bus,lb,0.03,truck,bogota,Car,Colombia,Latin_America,6761083.388006915
